segid,normalspeed,seglength
B_A,114,3179
A_B,114,3181
B_B1,164,4556
B1_B,164,4565
B1_C,66,1848
C_B1,66,1833
C_D,91,2537
D_C,91,2541
D_E,104,2898
E_D,104,2894
E_F,85,2359
F_E,83,2310
F_G,86,2405
G_F,86,2412
G_H,133,3693
H_G,133,3696
H_I,107,2974
I_H,106,2942
I_J,51,1407
J_I,51,1409
J_K,74,2069
K_J,74,2065
Z2_Z3,103,1433
Z2_Z1,233,3238
Z1_Z2,235,3258
Z1_B,133,2778
AD1_AD2,56,776
AD2_AD3,108,1495
AD3_AD4,160,2216
AC1_AC2,112,1559
AC2_AC3,104,1441
AC3_AC4,136,1885
BR1_BR2,31,434
BR2_BR3,121,1687
BR3_BR4,88,1229
BA4_BA3,100,1392
BA3_BA2,109,1511
BA2_BA1,32,440
AQ2_AC2,77,1072
AD3_AC1,35,480
AQ1_AQ2,148,2061
AQ2_AQ1,148,2061
AD3_AD2,108,1495
AD4_AD3,160,2216
AC2_AC1,112,1559
AC3_AC2,104,1441
AC4_AC3,136,1885
AD2_AD1,56,776
AC1_AD3,35,480
Z3_Z2,103,1433
B_Z1,143,2976
LY_Z3,252,3494
E_LY,80,1676
LE_LY,126,1749
AC2_AQ2,77,1072
Z3_LB,214,2976
B_Z2,345,5995
LY_Z2,355,4929
LY_D,85,1780
Z2_LB,317,4397
